,Name,Price,Location,Category
0,Gishushu nice full furnished apartment for sale in good neighborhood,"160,000 USD",N/A,apartment
1,Beautiful house for sale in good neighborhood of Kigali kimironko,"300,000,000 FRW",N/A,house
2,Kigali nice new house for sale in good neighborhood,"300,000,000 FRW",N/A,house
3,Kibagabaga new house for sale in good neighborhood,"450,000,000 FRW",N/A,house
4,Plot for sale in kimihurura rugando,"110,000 USD",N/A,land
5,Plot for sale in remera,"160,000,000 FRW",N/A,land
6,Nice new house for sale in kicukiro kagarama in good neighborhood,"165,000,000 FRW",N/A,house
7,Charming Modern Home for Sale ready to move in!,"450,000,000 FRW",N/A,house
8,Nice plot for sale in kimironko kwa masansu church,"45,000,000 FRW",N/A,house
9,Un furnished new house for sale in gacuriro,"250,000,000 FRW",N/A,house
10,Under construction story building for sale in gacuriro,"100,000,000 FRW",N/A,house
11,Nice plot for sale in kicukiro kagarama,FRW,N/A,land
12,Nice big plot for sale in gacuriro near simba center gacuriro,"400,000 USD",N/A,land
13,Nicely lovely new house for sale in kicukiro NIBOYE,"260,000,000 FRW",N/A,house
14,Welcome to your dream home for sale in kicukiro,"250,000,000 FRW",N/A,house
15,Nice plot for sale in VIP neighbourhood of gacuriro,"200,000,000 FRW",N/A,land
16,Plot for sale in kinyinya facing kibagabaga,"34,000,000 FRW",N/A,land
17,Nice house for sale with swimming pool at kicukiro,"300,000,000 FRW",N/A,house
18,Un furnished new house for sale in kimironko,"300,000,000 FRW",N/A,house
19,Hot deal 👌 nice house for sale in gacuriro vision 2020 with golf view,"280,000 USD",N/A,house
20,Un finishes house for sale in kinyinya,"200,000,000 FRW",N/A,house
21,Kibagabaga nice new house for sale in good neighborhood,"350,000,000 FRW",N/A,house
22,Nice house for sale in rebero with nice view,"300,000,000 FRW",N/A,house
23,,"3,000,000 FRW",N/A,land
24,Nice house for  in sale in kibagabaga,"170,000,000 FRW",N/A,house
25,Unfurnished brand new house for sale in kimironko,"165,000,000 FRW",N/A,house
26,Un furnished house for sale in kimironko,"300,000,000 FRW",N/A,house
27,Nice house for sale in kibagabaga,"300,000,000 FRW",N/A,house
28,Hot Deal un furnished house for sale in gacuriro vision 20,"250,000 USD",N/A,house
29,,"280,000 USD",N/A,house
30,Nice new house for sale in good neighborhood,"250,000,000 FRW",N/A,house
31,Nyarutarama two houses for sale on good price,"500,000,000 FRW",N/A,house
32,Plot for sale in kacyiru,"180,000,000 FRW",N/A,land
33,Nice house for sale in kagugu on tarmac road,"350,000,000 FRW",N/A,house
34,House for sale in gacuriro vision 2020,"250,000 USD",N/A,house
35,Rebero nice plot for sale in good neighborhood.,"70,000,000 FRW",N/A,land
36,KIGALI NICE PLOT FOR SALE IN GOOD NEIGHBORHOOD,"250,000,000 FRW",N/A,land
37,Cheap Apartment for sale in gacuriro vision city,"180,000,000 FRW",N/A,apartment
38,Semi detached house for sale in vision city,"370,000 USD",N/A,house
39,House house for sale in nyarutarama DNd estate,"110,000 USD",N/A,house
40,Nice new house for sale on reasonable price,"68,000,000 FRW",N/A,house
41,Kigali nice house for sale on good price,"270,000,000 FRW",N/A,house
42,Nice brand new house for sale in kibagabaga,"350,000,000 FRW",N/A,house
43,Nice house for sale in kibagabaga on tarmac road,"280,000,000 FRW",N/A,house
44,Residential plot for sale in gasanze,"30,000,000 FRW",N/A,land
45,Petrol station for sale in nyamata,"1,000,000,000 FRW",N/A,building
46,Industrial plot for sale in masoro phase 1,"1,500,000 USD",N/A,wirehouse
47,Residential plot for sale in bumbogo,"38,000,000 FRW",N/A,land
48,Kigali two houses in compound for sale in big plot on good price,"150,000,000 FRW",N/A,house
49,Kibagabaga nice house for sale in good neighborhood,"280,000,000 FRW",N/A,house
50,Kigali kibagabaga house for sale brand new,"500,000,000 FRW",N/A,house
51,Un furnished house new house for sale in kibagabaga,"420,000,000 FRW",N/A,house
52,Plot/ land for sale at kabuga muyumbo,"8,000,000 FRW",N/A,house
53,Un furnished new house for sale Kibagabaga near pili pili,"350,000,000 FRW",N/A,house
54,Plot for sale kinyinya,"15,000,000 FRW",N/A,land
55,House for sale in gacuriro in good estate,"270,000,000 FRW",N/A,house
56,Un furnished house for rent in Gisozi near fawe girl school,"350,000,000 FRW",N/A,house
57,House for sale in kibagabaga near pili pili,"250,000,000 FRW",N/A,house
58,Plot with old house to be renovated for sale in remera near bk arena,"150,000,000 FRW",N/A,land
59,Plot for sale in gacuriro,"90,000,000 FRW",N/A,land
60,New well un furnished house for sale in kibagabaga,"350,000,000 FRW",N/A,house
61,Big plot for sale in kagugu near landmark hotel,"900,000,000 FRW",N/A,land
62,Un furnished house for sale in kibagabaga on tarmac road,"350,000,000 FRW",N/A,house
63,Two house for sale in compound in kibagabaga,"350,000,000 FRW",N/A,house
64,Gishushu nice full furnished apartment for sale in good neighborhood,"160,000 USD",N/A,apartment
65,Beautiful house for sale in good neighborhood of Kigali kimironko,"300,000,000 FRW",N/A,house
66,Kigali nice new house for sale in good neighborhood,"300,000,000 FRW",N/A,house
67,Kibagabaga new house for sale in good neighborhood,"450,000,000 FRW",N/A,house
68,Plot for sale in kimihurura rugando,"110,000 USD",N/A,land
